2021-06-30 22:06:614 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 22:06:91 INFO  HomePage :66 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (3a45d9c36663d1ead8c55c86255b199a)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-30 22:06:554 INFO  ComputerPage :34 - Clicking on desktop menu....[[ChromeDriver: chrome on WINDOWS (3a45d9c36663d1ead8c55c86255b199a)] -> xpath: //ul[@class = 'sublist']/li[1]/a]
2021-06-30 22:06:937 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 22:06:934 INFO  HomePage :66 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (9f83989cf539abd4dec63433dcb57d6a)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-30 22:06:460 INFO  ComputerPage :40 - Clicking on notebook menu....[[ChromeDriver: chrome on WINDOWS (9f83989cf539abd4dec63433dcb57d6a)] -> xpath: //ul[@class = 'sublist']/li[2]/a]
2021-06-30 22:06:944 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 22:06:805 INFO  HomePage :66 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (0fdd054953c47133212c599152bd9b72)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-30 22:06:986 INFO  ComputerPage :34 - Clicking on desktop menu....[[ChromeDriver: chrome on WINDOWS (0fdd054953c47133212c599152bd9b72)] -> xpath: //ul[@class = 'sublist']/li[1]/a]
2021-06-30 22:06:371 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 22:06:956 INFO  HomePage :66 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (b46f7b7b304128e00269b1848ba2d9aa)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-30 22:06:100 INFO  ComputerPage :40 - Clicking on notebook menu....[[ChromeDriver: chrome on WINDOWS (b46f7b7b304128e00269b1848ba2d9aa)] -> xpath: //ul[@class = 'sublist']/li[2]/a]
2021-06-30 22:06:471 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-30 22:06:609 INFO  HomePage :66 - Clicking on Computer Menu....[[ChromeDriver: chrome on WINDOWS (0fb956fd3d714572758d14b8ea5be3ba)] -> xpath: //ul[@class='top-menu notmobile']/child::li[1]]
2021-06-30 22:06:139 INFO  ComputerPage :46 - Clicking on software menu....[[ChromeDriver: chrome on WINDOWS (0fb956fd3d714572758d14b8ea5be3ba)] -> xpath: //ul[@class = 'sublist']/li[3]/a]
2021-06-30 22:06:396 INFO  BasePage :33 - Launching Chrome Browser 
